sin^{2}(2theta_{23})	|Delta m^{2}_{32}|	Delta chi^{2}
0.980	0.00285	6.18
0.980	0.00290	7.64
0.980	0.00295	9.26
0.980	0.00300	11.03
0.985	0.00200	9.50
0.985	0.00205	7.57
0.985	0.00210	5.85
0.985	0.00215	4.36
0.985	0.00220	3.09
0.985	0.00225	2.05
0.985	0.00230	1.26
0.985	0.00235	0.69
0.985	0.00240	0.36
0.985	0.00245	0.25
0.985	0.00250	0.35
0.985	0.00255	0.64
0.985	0.00260	1.13
0.985	0.00265	1.79
0.985	0.00270	2.62
0.985	0.00275	3.62
0.985	0.00280	4.77
0.985	0.00285	6.08
0.985	0.00290	7.54
0.985	0.00295	9.15
0.985	0.00300	10.91
0.990	0.00200	9.24
0.990	0.00205	7.32
0.990	0.00210	5.62
0.990	0.00215	4.14
0.990	0.00220	2.88
0.990	0.00225	1.86
0.990	0.00230	1.09
0.990	0.00235	0.54
0.990	0.00240	0.23
0.990	0.00245	0.13
0.990	0.00250	0.25
0.990	0.00255	0.56
0.990	0.00260	1.05
0.990	0.00265	1.72
0.990	0.00270	2.56
0.990	0.00275	3.55
0.990	0.00280	4.70
0.990	0.00285	6.00
0.990	0.00290	7.46
0.990	0.00295	9.06
0.990	0.00300	10.80
0.995	0.00200	9.01
0.995	0.00205	7.10
0.995	0.00210	5.41
0.995	0.00215	3.95
0.995	0.00220	2.71
0.995	0.00225	1.71
0.995	0.00230	0.95
0.995	0.00235	0.42
0.995	0.00240	0.12
0.995	0.00245	0.05
0.995	0.00250	0.17
0.995	0.00255	0.50
0.995	0.00260	1.00
0.995	0.00265	1.68
0.995	0.00270	2.52
0.995	0.00275	3.51
0.995	0.00280	4.66
0.995	0.00285	5.95
0.995	0.00290	7.40
0.995	0.00295	8.99
0.995	0.00300	10.72
1.000	0.00200	8.96
1.000	0.00205	7.06
1.000	0.00210	5.37
1.000	0.00215	3.90
1.000	0.00220	2.67
1.000	0.00225	1.67
1.000	0.00230	0.91
1.000	0.00235	0.39
1.000	0.00240	0.10
1.000	0.00245	0.02
1.000	0.00250	0.15
1.000	0.00255	0.48
1.000	0.00260	0.98
1.000	0.00265	1.66
1.000	0.00270	2.50
1.000	0.00275	3.49
1.000	0.00280	4.64
1.000	0.00285	5.93
1.000	0.00290	7.37
1.000	0.00295	8.95
1.000	0.00300	10.69
