## ------------------------------------------------------------------------------------------------
## T2K Run 1-4 Numu-Disappearance Analysis -2dlnL Data ##
## Contents of this file include: 
##  (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal Hierarchy
##  (2) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{32} Normal Hierarchy
##  (3) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Inverted Hierarchy
##  (4) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{13} Inverted Hierarchy
##  (5) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{32}) Normal Hierarchy
##  (6) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{13}) Inverted Hierarchy
##  (7) 68% CL Feldman-Cousins Contours, Normal Hierarchy
##  (8) 90% CL Feldman-Cousins Contours, Normal Hierarchy
##  (9) 68% CL Feldman-Cousins Contours, Inverted Hierarchy
## (10) 90% CL Feldman-Cousins Contours, Inverted Hierarchy
## ------------------------------------------------------------------------------------------------
## (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal ##
## ------------------------------------------------------------------------------------------------
\sin^{2}(\theta_{23})	-2\Delta\lnL
0.002395 	0.897868418604
0.0024 	0.811742677743
0.002405 	0.729993149693
0.00241 	0.652622594172
0.002415 	0.579633358823
0.00242 	0.511027372481
0.002425 	0.446806125379
0.00243 	0.386970647621
0.002435 	0.331521472575
0.00244 	0.2804585786
0.002445 	0.233781295061
0.00245 	0.191488143378
0.002455 	0.153576556722
0.00246 	0.120042364105
0.002465 	0.0908787674141
0.00247 	0.0660741598704
0.002475 	0.0456069489549
0.00248 	0.0294316741445
0.002485 	0.017436466587
0.00249 	0.00931085470029
0.002495 	0.00441814968599
0.0025 	0.00148298133877
0.002505 	0.000172063706032
0.00250763304592 	0.0
0.00251 	0.000139259051139
0.002515 	0.00139800451325
0.00252 	0.00423555791258
0.002525 	0.00935973294304
0.00253 	0.0177568079077
0.002535 	0.0300840599057
0.00254 	0.0465942619267
0.002545 	0.0673741055291
0.00255 	0.0924558219558
0.002555 	0.121851768215
0.00256 	0.15556584061
0.002565 	0.193619431627
0.00257 	0.235970039696
0.002575 	0.282604056356
0.00258 	0.333569656575
0.002585 	0.388836495793
0.00259 	0.448398657608
0.002595 	0.512249524239
0.0026 	0.580382233013
0.002605 	0.652822525238
0.00261 	0.72950130306
0.002615 	0.8104397161
0.00262 	0.895629643534
0.002625 	0.985016715402
0.00263 	1.07867565569
0.002635 	1.17662292092
0.00264 	1.27873137593
0.002645 	1.38497762486
0.00265 	1.49555644394
0.002655 	1.61017777706
0.00266 	1.72904723803
0.002665 	1.85216961311
0.00267 	1.97927179678
0.002675 	2.10228420535
0.00268 	2.2343832153
0.002685 	2.37059297945
0.00269 	2.51071640086
0.002695 	2.65492222312
0.0027 	2.80311658842
0.002705 	2.95532004716
0.00271 	3.11149828179
0.002715 	3.2714852932
0.00272 	3.43557932995
0.002725 	3.6037912777
